"Name"	"time"	"Stream"	"avg_mgL"	"std_mgL"	"Std_p"	"ion"	"mw"	"mM"	"Recovery"	"plot"
"ID:4A"	6	"Feed"	158.066448152563	0.0302002300268242	0.000191060344429803	"Cl"	35.45	4.45885608328808	61.2	"Ca, Cl, SiO2, SO4 "
"ID:4A"	8	"Feed"	136.027810885975	0.0786610642559601	0.000578271926480515	"Cl"	35.45	3.83717379085967	81.6	"Ca, Cl, SiO2, SO4 "
"ID:4A"	0.333333333333333	"Permeate"	171.981326976559	3.03547428316275	0.0176500224560802	"Cl"	35.45	4.85137734771677	3.4	"Ca, Cl, SiO2, SO4 "
"ID:4A"	0.666666666666667	"Permeate"	160.966229638458	2.26150559735862	0.0140495655668777	"Cl"	35.45	4.540655278941	6.8	"Ca, Cl, SiO2, SO4 "
"ID:4A"	1	"Permeate"	177.82856575288	0.32447689005582	0.00182466123303682	"Cl"	35.45	5.01632061362145	10.2	"Ca, Cl, SiO2, SO4 "
"ID:4A"	1.33333333333333	"Permeate"	178.292908224076	0.174880401783307	0.000980860111180192	"Cl"	35.45	5.02941913184982	13.6	"Ca, Cl, SiO2, SO4 "
"ID:4A"	1.66666666666667	"Permeate"	180.229737783075	0.0681261002930958	0.000377995890861765	"Cl"	35.45	5.08405466242807	17	"Ca, Cl, SiO2, SO4 "
"ID:4A"	2	"Permeate"	155.127433452523	0.968514353651411	0.00624334672530908	"Cl"	35.45	4.3759501679132	20.4	"Ca, Cl, SiO2, SO4 "
"ID:4A"	2.33333333333333	"Permeate"	181.537346046881	0.259862444417006	0.00143145446419547	"Cl"	35.45	5.12094065012359	23.8	"Ca, Cl, SiO2, SO4 "
"ID:4A"	2.66666666666667	"Permeate"	159.968514104092	0.135549869655327	0.000847353433358294	"Cl"	35.45	4.512510976138	27.2	"Ca, Cl, SiO2, SO4 "
"ID:4A"	3	"Permeate"	157.539531187922	0.0730424168090857	0.000463645005531701	"Cl"	35.45	4.44399241714872	30.6	"Ca, Cl, SiO2, SO4 "
"ID:4A"	3.33333333333333	"Permeate"	156.961462058006	0.00280932372345729	1.7898175046427e-05	"Cl"	35.45	4.42768581263767	34	"Ca, Cl, SiO2, SO4 "
"ID:4A"	3.66666666666667	"Permeate"	187.651767977751	0.0365212084045228	0.000194622245226343	"Cl"	35.45	5.29342081742599	37.4	"Ca, Cl, SiO2, SO4 "
