"Name"	"Time"	"Stream"	"Recovery"	"ion"	"Value"	"Std"	"plot"
"ID:2 - pH 10.2"	4	"Permeate"	48	"Ca"	0.0451707043031249	0.0829760464375082	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	5	"Feed"	60	"Ca"	0.347834661768377	0.0109714007942055	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	5	"Permeate"	60	"Ca"	0.0501821756574294	0.0828375526260408	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	5.5	"Feed"	66	"Ca"	0.394865392939542	0.00793881478438462	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	5.5	"Permeate"	66	"Ca"	0.0606869906116445	0.0752360716841332	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	6	"Feed"	72	"Ca"	0.430572126338962	0.0118703155066344	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	6	"Permeate"	72	"Ca"	0.0483992483486865	0.115457499118473	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	6.5	"Feed"	78	"Ca"	0.473121445625989	0.00403303794370235	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	6.5	"Permeate"	78	"Ca"	0.063530036860721	NA	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	0	"Feed"	0	"Ca"	0.0914786271058805	0.043207114737484	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	2.5	"Feed"	25.5	"Ca"	0.118126162287903	0.039806125399259	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	2.5	"Permeate"	25.5	"Ca"	0.0322083408963182	0.0211581921360428	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	4	"Feed"	40.8	"Ca"	0.129835657856134	0.028343056846848	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	4	"Permeate"	40.8	"Ca"	0.0349068254717129	0.011713530334399	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	5	"Feed"	51	"Ca"	0.135810873701651	0.0311102898336403	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	5	"Permeate"	51	"Ca"	0.0376053100471076	0.00724865998141001	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	6	"Feed"	61.2	"Ca"	0.144195450775198	0.0170136640306883	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	6	"Permeate"	61.2	"Ca"	0.0393400501312899	0.0277160913742889	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	7	"Feed"	71.4	"Ca"	0.162747532231037	0.0263798941284731	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	7	"Permeate"	71.4	"Ca"	0.0426649686259727	0.0111808165084839	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	8	"Feed"	81.6	"Ca"	0.195466657707698	0.012550953615381	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	8	"Permeate"	81.6	"Ca"	0.0480619377767621	0.0297759021554392	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	0	"Feed"	0	"Na"	13.0742693292305	0.00123985728412244	"Na"
"ID:1 - pH 9.3"	3.5	"Feed"	35.7	"Na"	14.9456245472367	0.000943142285189522	"Na"
"ID:1 - pH 9.3"	3.5	"Permeate"	35.7	"Na"	7.51602039542957	0.00900211532005108	"Na"
"ID:1 - pH 9.3"	5	"Feed"	51	"Na"	16.9385804771452	0.000124826137362131	"Na"
"ID:1 - pH 9.3"	5	"Permeate"	51	"Na"	8.93984512454903	0.0820695445764612	"Na"
"ID:1 - pH 9.3"	6	"Feed"	61.2	"Na"	18.4884911903274	0.00278280438113876	"Na"
"ID:1 - pH 9.3"	6	"Permeate"	61.2	"Na"	8.70461751791817	0.0010525795991647	"Na"
"ID:1 - pH 9.3"	7	"Feed"	71.4	"Na"	23.4796023776328	0.175000425964484	"Na"
"ID:1 - pH 9.3"	7	"Permeate"	71.4	"Na"	9.65699030662915	0.00452492289301606	"Na"
"ID:1 - pH 9.3"	8	"Feed"	81.6	"Na"	22.6134464871149	0.000623339325878398	"Na"
"ID:1 - pH 9.3"	8	"Permeate"	81.6	"Na"	10.8535612462917	6.49365225348249e-05	"Na"
"ID:1 - pH 9.3"	8.7	"Feed"	88.74	"Na"	27.2053684521505	0.000569940288264957	"Na"
"ID:1 - pH 9.3"	8.7	"Permeate"	88.74	"Na"	11.1226775759117	0.0108354774162037	"Na"
"ID:2 - pH 10.2"	0	"Feed"	0	"Na"	15.0729014201668	0.00414255833946196	"Na"
"ID:2 - pH 10.2"	3	"Feed"	36	"Na"	18.476078936256	0.0152268492809895	"Na"
"ID:2 - pH 10.2"	3	"Permeate"	36	"Na"	5.50332499372942	0.00267713097966666	"Na"
"ID:2 - pH 10.2"	4	"Feed"	48	"Na"	20.7124527325432	0.0134472804328027	"Na"
"ID:2 - pH 10.2"	4	"Permeate"	48	"Na"	6.07829332334274	0.0126965730682186	"Na"
"ID:2 - pH 10.2"	5	"Feed"	60	"Na"	24.819534271256	0.00468379803026914	"Na"
"ID:2 - pH 10.2"	5	"Permeate"	60	"Na"	6.80506519813439	0.00546410535566316	"Na"
"ID:2 - pH 10.2"	5.5	"Feed"	66	"Na"	27.7817392689147	0.00110911593452857	"Na"
"ID:2 - pH 10.2"	5.5	"Permeate"	66	"Na"	7.32050272571699	0.00747530955145571	"Na"
"ID:2 - pH 10.2"	6	"Feed"	72	"Na"	30.1031730751709	0.00790952386854197	"Na"
"ID:2 - pH 10.2"	6	"Permeate"	72	"Na"	7.84238942351959	0.000715677013422249	"Na"
"ID:2 - pH 10.2"	6.5	"Feed"	78	"Na"	35.1382283102418	0.00318877459821767	"Na"
"ID:2 - pH 10.2"	6.5	"Permeate"	78	"Na"	8.71848439340494	0.00772512870924858	"Na"
"ID:3 - pH 10.5"	0	"Feed"	0	"Na"	16.7774667183129	0.0022999150171357	"Na"
"ID:3 - pH 10.5"	2.5	"Feed"	25.5	"Na"	21.117758276369	0.00790687053882216	"Na"
"ID:3 - pH 10.5"	2.5	"Permeate"	25.5	"Na"	4.79044363941161	0.010837558884844	"Na"
"ID:3 - pH 10.5"	4	"Feed"	40.8	"Na"	25.58212131512	0.00596765405247487	"Na"
"ID:3 - pH 10.5"	4	"Permeate"	40.8	"Na"	5.46711042249407	0.0184790709032091	"Na"
"ID:3 - pH 10.5"	5	"Feed"	51	"Na"	28.7622083253113	0.0013634822823119	"Na"
"ID:3 - pH 10.5"	5	"Permeate"	51	"Na"	6.03066868171817	0.0132621784500783	"Na"
"ID:3 - pH 10.5"	6	"Feed"	61.2	"Na"	32.8167945039857	0.00256075947290811	"Na"
"ID:3 - pH 10.5"	6	"Permeate"	61.2	"Na"	6.6869957741068	0.0135342485233859	"Na"
"ID:3 - pH 10.5"	7	"Feed"	71.4	"Na"	39.005634032695	0.000323168381237321	"Na"
"ID:3 - pH 10.5"	7	"Permeate"	71.4	"Na"	7.44750177004918	0.0205362604645048	"Na"
"ID:3 - pH 10.5"	8	"Feed"	81.6	"Na"	49.8670523574438	0.0078080896877514	"Na"
"ID:3 - pH 10.5"	8	"Permeate"	81.6	"Na"	8.86631921844788	0.00870411874516237	"Na"
"ID:1 - pH 9.3"	0	"Feed"	0	"SiO2"	0.672436750998668	0.0495049504950495	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	3.5	"Feed"	35.7	"SiO2"	0.71404793608522	0.0466200466200466	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	3.5	"Permeate"	35.7	"SiO2"	0.562583222370173	0.0591715976331361	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	5	"Feed"	51	"SiO2"	0.702396804260985	0.0473933649289099	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	5	"Permeate"	51	"SiO2"	0.590878828229028	0.0563380281690141	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	6	"Feed"	61.2	"SiO2"	0.753994673768309	0.0441501103752759	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	6	"Permeate"	61.2	"SiO2"	0.687416777629827	0.0484261501210654	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	7	"Feed"	71.4	"SiO2"	0.805592543275632	0.0413223140495868	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	7	"Permeate"	71.4	"SiO2"	0.620838881491345	0.0536193029490617	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	8	"Feed"	81.6	"SiO2"	0.835552596537949	0.0398406374501992	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	8	"Permeate"	81.6	"SiO2"	0.637483355525965	0.0522193211488251	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	8.7	"Feed"	88.74	"SiO2"	0.922103861517976	0.036101083032491	"Ca, Cl, SiO2, SO4 "
"ID:1 - pH 9.3"	8.7	"Permeate"	88.74	"SiO2"	0.669107856191744	0.0497512437810945	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	0	"Feed"	0	"SiO2"	0.677430093209055	0.0491400491400491	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	1.25	"Feed"	15	"SiO2"	0.73901464713715	0.045045045045045	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	1.25	"Permeate"	15	"SiO2"	0.372836218375499	0.0892857142857143	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	3	"Feed"	36	"SiO2"	0.808921438082557	0.0411522633744856	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	3	"Permeate"	36	"SiO2"	0.424434087882823	0.0784313725490196	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	4	"Feed"	48	"SiO2"	0.890479360852197	0.0373831775700935	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	4	"Permeate"	48	"SiO2"	0.431091877496671	0.0772200772200772	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	5	"Feed"	60	"SiO2"	0.927097203728362	0.0359066427289048	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	5	"Permeate"	60	"SiO2"	0.45439414114514	0.0732600732600733	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	5.5	"Feed"	66	"SiO2"	1.05193075898802	0.0316455696202532	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	5.5	"Permeate"	66	"SiO2"	0.492676431424767	0.0675675675675676	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	6	"Feed"	72	"SiO2"	1.18175765645806	0.028169014084507	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	6	"Permeate"	72	"SiO2"	0.51098535286285	0.0651465798045603	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	6.5	"Feed"	78	"SiO2"	1.30659121171771	0.0254777070063694	"Ca, Cl, SiO2, SO4 "
"ID:2 - pH 10.2"	6.5	"Permeate"	78	"SiO2"	0.539280958721704	0.0617283950617284	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	0	"Feed"	0	"SiO2"	0.667443408788282	0.0498753117206982	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	2.5	"Feed"	25.5	"SiO2"	0.822237017310253	0.0404858299595142	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	2.5	"Permeate"	25.5	"SiO2"	0.281291611185087	0.118343195266272	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	4	"Feed"	40.8	"SiO2"	0.86884154460719	0.0383141762452107	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	4	"Permeate"	40.8	"SiO2"	0.311251664447403	0.106951871657754	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	5	"Feed"	51	"SiO2"	1.01697736351531	0.0327332242225859	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	5	"Permeate"	51	"SiO2"	0.331225033288948	0.100502512562814	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	6	"Feed"	61.2	"SiO2"	1.1185086551265	0.0297619047619048	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	6	"Permeate"	61.2	"SiO2"	0.357856191744341	0.0930232558139535	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	7	"Feed"	71.4	"SiO2"	1.35486018641811	0.0245700245700246	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	7	"Permeate"	71.4	"SiO2"	0.399467376830892	0.0833333333333333	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	8	"Feed"	81.6	"SiO2"	1.63115845539281	0.0204081632653061	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	8	"Permeate"	81.6	"SiO2"	0.44607190412783	0.0746268656716418	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	8.17	"Feed"	83.334	"SiO2"	1.62616511318242	0.0204708290685773	"Ca, Cl, SiO2, SO4 "
"ID:3 - pH 10.5"	8.17	"Permeate"	83.334	"SiO2"	0.466045272969374	0.0714285714285714	"Ca, Cl, SiO2, SO4 "
