"Name"	"Time"	"Stream"	"key"	"value"	"std_p"	"Mw"	"Concentration"	"start_vol"	"Recovery"	"plot"
"ID:6B"	6.5	"Feed"	"Na"	267.7325	0.004080490702224	22.99	11.6456067855589	8.5	78	"Na"
"ID:6B"	6.5	"Permeate"	"Na"	160.3175	0.00407986509643404	22.99	6.97335798173119	8.5	78	"Na"
"ID:7B"	0	"Feed"	"Na"	170.2725	0.00446425459058586	22.99	7.40637233579817	8.45	0	"Na"
"ID:7B"	2	"Perm spand"	"Na"	94.311	0.00125959791794525	22.99	4.10226185297956	8.45	24.1420118343195	"Na"
"ID:7B"	4	"Perm spand"	"Na"	130.5875	0.00203055455495339	22.99	5.68018703784254	8.45	48.2840236686391	"Na"
"ID:7B"	1.5	"Feed"	"Na"	154.0525	0.00475068900879943	22.99	6.70084819486733	8.45	18.1065088757396	"Na"
"ID:7B"	1.5	"Permeate"	"Na"	88.88	1.59114937260328e-05	22.99	3.86602870813397	8.45	18.1065088757396	"Na"
"ID:7B"	6.5	"Feed"	"Na"	242.1325	0.000423447836502975	22.99	10.5320791648543	8.45	78.4615384615385	"Na"
"ID:7B"	6.5	"Permeate"	"Na"	131.99	0.00439296583508587	22.99	5.74119182253154	8.45	78.4615384615385	"Na"
"ID:6A"	0	"CT vand"	"Mg"	5.704	0.0151239528935412	24.305	0.234684221353631	10	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	0	"Feed"	"Mg"	5.7065	0.0159847147591456	24.305	0.234787080847562	10	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	2	"Perm spand"	"Mg"	1.176	0.0793691285005308	24.305	0.0483851059452788	10	20.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	4	"Perm spand"	"Mg"	1.4825	0.0481738852612757	24.305	0.0609956799012549	10	40.8	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	1.5	"Feed"	"Mg"	6.387	0.0104067695994263	24.305	0.262785435095659	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	1.5	"Permeate"	"Mg"	0.933	0.0894304396355976	24.305	0.0383871631351574	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
